id,paragraph,problems,question_plus
generation-for-nlp-0,"해설: 빗살무늬 토기는 농경과 목축이 시작된 이 시대의 대표적인 유물로, 다양한 기법으로 새겨진 빗살 문양이 확인된다.","{'question': '밑줄 친 ‘이 시대’에 볼 수 있는 모습으로 가장 적절한 것은? [3점]', 'choices': ['① 간석기를 제작하는 노인', '② 철제 농기구로 밭을 가는 농민', '③ 비파형 동검을 들고 있는 군장', '④ 은병(활구)으로 교역을 하는 상인', '⑤ 황룡사 9층 목탑을 구경하는 아이'], 'answer': '1'}",
generation-for-nlp-1,"학생: 이 사료는 고려사의 일부네요. 이 기록에서 어떤 사실과 역사적 의미를 알 수 있을까요?

선생님: (가) 이/가 쌍기에게 명하여 처음으로 과거제를 시행하도록 한 내용입니다. 이를 통해 유교적 소양을 갖춘 관리를 등용하고자 했음을 알 수 있습니다.","{'question': '(가) 왕에 대한 설명으로 옳은 것은? [3점]', 'choices': ['① 삼별초를 조직하였다.', '② 규장각을 운영하였다.', '③ 훈민정음을 창제하였다.', '④ 육영 공원을 설립하였다.', '⑤ 노비안검법을 실시하였다.'], 'answer': '5'}",
generation-for-nlp-2,"학생: 이 비는 **(가)**의 광개토 대왕을 기리기 위해 세워진 것입니다. 이 비를 통해서 (가) 이/가 천손 의식을 내세웠고, 강력한 군사력을 바탕으로 요동을 포함한 만주 일대를 차지한 사실을 알 수 있습니다.

이미지 자료: 광개토 대왕릉비 사진","{'question': '(가) 국가에 대한 설명으로 옳은 것은?', 'choices': ['① 우산국을 정벌하였다.', '② 진대법을 실시하였다.', '③ 경국대전을 반포하였다.', '④ 쌍성총관부를 공격하였다.', '⑤ 백두산정계비를 건립하였다.'], 'answer': '2'}",
generation-for-nlp-3,"주제: 인물로 본 신라 불교

모둠별 발표 주제

1모둠: 자장과 호국 불교

2모둠: 원효와 아미타 신앙

3모둠: (가)","{'question': '(가)에 들어갈 내용으로 가장 적절한 것은?', 'choices': ['① 의상과 화엄 사상', '② 지눌과 수선사 결사', '③ 의천과 해동 천태종', '④ 신돈과 전민변정도감', '⑤ 묘청과 서경 천도 운동'], 'answer': '1'}",
generation-for-nlp-4,"추밀원부사를 지냈던 홍문계는 딸이 공녀로 선발되자, 권세가에게 부탁하여 공녀가 되는 것을 면하고자 하였으나 성사되지 못하였다. 결국 그는 딸이 공녀가 되는 것을 막기 위해 딸의 머리를 깎았다. 원(元) 공주는 이 소식을 듣고 크게 노하여, 홍문계를 가두고 가혹한 형벌을 가했으며 그의 재산을 몰수하였다.","{'question': '다음 자료의 상황이 나타난 시기의 모습으로 옳은 것은?', 'choices': ['① 골품제가 실시되었다.', '② 집강소가 설치되었다.', '③ 수원 화성이 건설되었다.', '④ 권문세족이 농장을 확대하였다.', '⑤ 향약이 전국적으로 보급되었다.'], 'answer': '4'}",
generation-for-nlp-5,"소손녕이 말하기를, “너희 고려가 우리 거란과 접해 있으면서도 바다를 건너 송에 사대하니, 이 때문에 정벌하러 왔다. 우리에게 조공을 하면 무사할 것이다.”라고 하였다. 서희가 말하기를, “압록강 안팎은 우리의 영역인데, 지금 여진이 그곳을 차지하여 길이 막혀 조공을 하지 못하는 것이다. 만약 우리가 여진을 쫓아 내고 옛 고구려 땅을 되찾아 성을 쌓고 길이 통하도록 해 준다면, 어찌 조공을 하지 않겠는가.”라고 하였다. …(중략)…소손녕이 이를 보고하자, 거란 황제가 “고려가 강화를 요청해 왔으니, 마땅히 군사 행동을 중지하라.”라고 하였다.","{'question': '다음 사건의 영향으로 가장 적절한 것은? [3점]', 'choices': ['① 별기군이 창설되었다.', '② 훈련도감이 조직되었다.', '③ 강동 6주가 확보되었다.', '④ 금관가야가 멸망하였다.', '⑤ 9서당 10정이 편성되었다.'], 'answer': '3'}",
generation-for-nlp-6,"태조, 태종, 세종을 거치면서 공납 제도가 정비되었는데, 그 이후로 세월이 흐르면서 여러 문제가 불거졌습니다. 중앙 관청의 서리들은 고을로부터 공물이 오는 것과 상관없이 자신들이 준비한 것으로 납입하고는, 그 고을에 독촉하여 대가를 지나치게 많이 징수하였습니다. 궁가(宮家)에서도 고을의 공물 납부를 막고 대신 납입하고는 고을 사람들로부터 공물 가격의 몇 배를 요구하였습니다. 이러한 폐단을 백성들이 어떻게 견디겠습니까?","{'question': '밑줄 친 ‘폐단’에 대한 대책으로 옳은 것은? [3점]', 'choices': ['① 대동법을 실시하였다.', '② 전시과를 시행하였다.', '③ 공음전을 지급하였다.', '④ 직전법을 제정하였다.', '⑤ 건원중보를 발행하였다.'], 'answer': '1'}",
generation-for-nlp-7,"이곳은 유네스코 세계유산에 등재된 9곳의 (가) 가운데 하나입니다. 주세붕이 세운 것을 시작으로 전국 각지에 설립된 (가) 은/는 조선 시대 유학 교육과 선현에 대한 제사를 담당하였으며, 왕이 현판을 하사하고, 서적, 토지, 노비를 지원하기도 하였습니다.","{'question': '(가)에 대한 설명으로 옳은 것은?', 'choices': ['① 불국사를 창건하였다.', '② 팔관회를 개최하였다.', '③ 한성순보를 발행하였다.', '④ 사림의 지위 강화에 기여하였다.', '⑤ 최씨 무신 정권의 기반이 되었다. 사 영역'], 'answer': '4'}",
generation-for-nlp-8,"학생 1: (가) 에 대해 말해 볼까?

학생 2: 조선이 청의 군신 관계 요구를 거부하자, 이를 빌미로 청이 조선을 침략한 전쟁이야.

학생 3: 결국 조선은 굴욕적인 항복을 하였고, 세자와 일부 신하들이 청에 인질로 끌려갔어.","{'question': '(가) 전쟁 중에 있었던 사실로 옳은 것은? [3점]', 'choices': ['① 이성계가 위화도에서 회군하였다.', '② 인조가 남한산성에서 항전하였다.', '③ 이순신이 한산도에서 대승을 거두었다.', '④ 을지문덕이 살수에서 적군을 격파하였다.', '⑤ 김좌진이 청산리 전투를 승리로 이끌었다.'], 'answer': '2'}",
generation-for-nlp-9,"□□ 문화원 시민 강좌
우리 문화원에서는 19세기 이후 위정척사 운동을 전개하였던 인물에 대한 강좌를 마련하였습니다. 많은 관심과 참여 부탁드립니다.

강좌 주제

제1강좌: 척화주전론을 역설한 이항로

제2강좌: 왜양일체론을 주장한 최익현

제3강좌: (가)

일시: 2021년 △△월 △△일 15:00 ~ 18:00

장소: □□ 문화원 강당","{'question': '(가)에 들어갈 내용으로 가장 적절한 것은?', 'choices': ['① 성학십도를 저술한 이황', '② 시무 28조를 올린 최승로', '③ 유교적 사관을 제시한 김부식', '④ 영남 만인소를 주도한 이만손', '⑤ 재상 중심의 정치를 강조한 정도전'], 'answer': '4'}",
generation-for-nlp-10,"그림은 군국기무처에서 관료들이 개혁안을 논의하고 있는 모습을 묘사한 것입니다. 이곳에서 의결하여 추진한 개혁에 대해 이야기해 볼까요?

학생 1: 궁내부를 설치하였습니다.

학생 2: 신분제를 폐지하였습니다.

학생 3: (가)","{'question': '(가)에 들어갈 내용으로 가장 적절한 것은?', 'choices': ['① 장용영을 창설하였습니다.', '② 영정법을 시행하였습니다.', '③ 금융 실명제를 도입하였습니다.', '④ 과부의 재가를 허용하였습니다.', '⑤ 사사오입 개헌안을 통과시켰습니다.'], 'answer': '4'}",
generation-for-nlp-11,"지도는 네덜란드 헤이그에서 열린 제2차 만국 평화 회의에 파견된 특사의 여정을 나타낸 것이다. 이들은 을사늑약의 불법성을 알리려고 하였으나, 일본 등의 방해로 소기의 목적을 달성하지 못하였다. 일본은 이를 빌미로 고종을 강제로 퇴위시켰다.","{'question': '밑줄 친 ‘특사’가 파견된 시기를 연표에서 옳게 고른 것은? [3점] 신미양요 발발, (가), 임오군란 발생, (나), 대한 제국 수립, (다), 국권 피탈, (라), 6·10 만세 운동 발생, (마), 만주 사변 발발', 'choices': ['① (가)', '② (나)', '③ (다)', '④ (라)', '⑤ (마)'], 'answer': '3'}",
generation-for-nlp-12,"국왕: (가) (경종 다음, 정조 이전)

재위 기간: 1724년 ~ 1776년

주요 업적:

성균관 입구에 탕평비를 세움

『속대전』을 편찬함

청계천 준설 사업을 실시함

신문고를 부활시킴","{'question': '(가) 왕이 실시한 정책으로 옳은 것은? [3점]', 'choices': ['① 녹읍을 폐지하였다.', '② 균역법을 시행하였다.', '③ 평양으로 천도하였다.', '④ 사심관 제도를 마련하였다.', '⑤ 통리기무아문을 설치하였다.'], 'answer': '2'}",
generation-for-nlp-13,"제1조: 조선 주둔 헌병은 치안 유지에 관한 경찰과 군사 경찰을 관장한다.

··· (중략) ···

제3조: 헌병 장교, 준사관, 하사, 상등병에게는 조선 총독이 정하는 바에 의하여 재직하면서 경찰관의 직무를 집행하게 한다.

제4조: 경찰관의 직무를 집행하는 자가 그 경찰 사무에 관해 직권을 가진 상관의 명령을 받은 때에는 즉시 이를 복종하여 실행해야 한다.","{'question': '다음 법령이 시행된 시기에 있었던 사실로 옳은 것은? [3점]', 'choices': ['① 식목도감이 설치되었다.', '② 홍경래의 난이 일어났다.', '③ 토지 조사 사업이 실시되었다.', '④ 신탁 통치 반대 시위가 발생하였다.', '⑤ 독립 협회가 만민 공동회를 개최하였다.'], 'answer': '3'}",
generation-for-nlp-14,"내가 취직을 하기 위해 경성에 갔습니다. 호적 등본이 필요하다고 하여 발급받아서 보니, 직업이 '도한(백정)'이라고 쓰여 있기에 차마 그것을 내놓기가 부끄러워 그만두었습니다. ··· (중략) ··· 아이들을 학교에 보내려면 호적이 필요한데, '도한(백정)'이라는 것이 적혀 있으면 쫓아냅니다.","{'question': '다음 자료를 활용한 탐구 활동으로 가장 적절한 것은?', 'choices': ['① 당백전의 발행 계기를 알아본다.', '② 교정도감의 설치 과정을 분석한다.', '③ 조선 형평사의 창립 배경을 살펴본다.', '④ 미국에 보빙사를 파견한 목적을 조사한다.', '⑤ 미․소 공동 위원회의 결렬 결과를 파악한다.'], 'answer': '3'}",
generation-for-nlp-15,"자료는 **(가)**의 외교 담당 기관인 구미 위원부가 발급한 시민증이다. 3·1 운동을 계기로 상하이에 수립된 **(가)**은/는 활발한 외교 활동을 전개하였으며, 독립 운동 자금을 모으기 위해 독립 공채를 발행하였다.","{'question': '(가)에 대한 설명으로 옳은 것은? [3점]', 'choices': ['① 도병마사를 설치하였다.', '② 홍범 14조를 반포하였다.', '③ 강화도 조약을 체결하였다.', '④ 의정부 서사제를 실시하였다.', '⑤ 연통제와 교통국을 조직하였다.'], 'answer': '5'}",
generation-for-nlp-16,"일제에 압수되었던 ‘큰사전’ 원고 되찾아
경성역의 창고에서 방대한 양의 우리말 ‘큰사전’ 원고가 발견되었다. 이 원고는 일제의 탄압 속에서도 우리말을 지키고자 노력했던 **(가)**에서 사전 편찬을 위해 작성한 것이었으나, 1942년 (가) 사건으로 일체 경찰에 압수되어 3년 동안 그 행방을 알 길이 없었다. 이번 발견을 계기로 사전 편찬 작업이 본격적으로 재개될 전망이다.","{'question': '(가) 단체에 대한 설명으로 옳은 것은?', 'choices': ['① 105인 사건으로 해체되었다.', '② 교조 신원 운동을 추진하였다.', '③ 국채 보상 운동을 주도하였다.', '④ 을미사변을 계기로 조직되었다.', '⑤ 한글 맞춤법 통일안을 제정하였다.'], 'answer': '5'}",
generation-for-nlp-17,"(가)
친애하는 국회의원 동지 여러분!
본인은 내각 책임제 하의 행정 수반으로서…(중략)…3·15 부정 선거 관련자 처단과 부정 축재자 처리에 있어서는 혁명 정신에 입각하여 현행법을 적절히 활용하여 왔습니다.

(나)
친애하는 대의원 여러분!
유신 헌법에 따라 최초로 탄생된 제도의 하나가 지금 개막한 통일 주체 국민 회의입니다. …(중략)… 여러분은 대통령을 선출하고 국회의원의 일부를 선출하게 되는 것입니다.","{'question': '(가), (나) 연설이 행해진 시기 사이에 있었던 사실로 옳은 것은?', 'choices': ['① 남북 기본 합의서가 채택되었다.', '② 남북한이 유엔에 동시 가입하였다.', '③ 7․4 남북 공동 성명이 발표되었다.', '④ 제2차 남북 정상 회담이 개최되었다.', '⑤ 남북한이 개성 공단 조성에 합의하였다.'], 'answer': '3'}",
generation-for-nlp-18,"유권자의 날
요약 선거의 의미를 되새기고 투표 참여를 독려하기 위해 제정한 법정 기념일
날짜 매년 5월 10일
이날은 우리나라 역사상 최초로 실시된 보통 선거를 기념하기 위해 지정되었다. 이 선거는 유엔 한국 임시 위원단이 참관한 가운데 시행되었으며, 제주도 2곳의 선거구를 제외하고 총 198명의 국회의원이 선출되었다. 당시 선거에서는 문맹자가 많아 후보자의 기호를 막대기 갯수로 표기하기도 하였다. 이 선거로 구성된 국회는 2년 동안 활동하였다.","{'question': '밑줄 친 ‘국회’에 대한 설명으로 옳은 것은? [3점]', 'choices': ['① 회사령을 폐지하였다.', '② 헌의 6조를 채택하였다.', '③ 대한국 국제를 반포하였다.', '④ 국가 총동원법을 선포하였다.', '⑤ 반민족 행위 처벌법을 제정하였다.'], 'answer': '5'}",
generation-for-nlp-19,"최근 한국에서는 경찰의 고문으로 사망한 박종철 학생을 위한 추도회를 개최하는 과정에서 충돌이 일어나 수백 명이 연행되었습니다. 특파원에 따르면, 전두환 정권에 대한 국민들의 분노가 갈수록 고조되고 있다고 합니다.","{'question': '다음 뉴스 내용을 활용한 탐구 활동으로 가장 적절한 것은?', 'choices': ['① 6월 민주 항쟁의 배경을 조사한다.', '② 조선 혁명 선언의 내용을 분석한다.', '③ 브나로드 운동의 전개 과정을 파악한다.', '④ 광주 학생 항일 운동의 계기를 살펴본다.', '⑤ 모스크바 3국 외상 회의의 결정 내용을 찾아본다.'], 'answer': '1'}",
generation-for-nlp-20,"이것은 오랜 세월 땅속에 묻혀 있다가 1993년에 부여 능산리에서 발굴되어, 고대 국가인 **(가)**을/를 대표하는 유물이 되었습니다. 불로장생을 염원하는 신선 사상과 연꽃으로 상징되는 불교적 세계관이 조화롭게 표현되어 있습니다.","{'question': '(가) 국가에 대한 설명으로 옳은 것은?', 'choices': ['① 왕건이 건국하였다.', '② 상평통보를 발행하였다.', '③ 홍범 14조를 반포하였다.', '④ 웅진에서 사비로 천도하였다.', '⑤ 제가들이 사출도를 다스렸다.'], 'answer': '4'}",
generation-for-nlp-21,"학습 주제: 'OO 지역' 역사 탐구

5소경 중 하나인 중원경이 있었어.

몽골의 침략에 맞선 하층민의 항쟁도 있었지.

신립이 이끄는 조선군이 일본군과 격전을 벌였어.

(가)","{'question': '(가)에 들어갈 내용으로 가장 적절한 것은?', 'choices': ['① 수원 화성이 건설되었어.', '② 경인선 철도가 부설되었어.', '③ 충주 고구려비가 건립되었어.', '④ 제주 4․3 사건이 발생하였어.', '⑤ 신흥 무관 학교가 설립되었어.'], 'answer': '3'}",
generation-for-nlp-22,"우리 태조 대왕께서 천명을 받아 즉위하셔서 태평성대를 이루고 문화를 발전시키셨습니다. 그 뒤 우리 **(가)**께서 널리 어질고 능력 있는 사람을 불러들이셨습니다. 때마침 후주에서 보내온 사신 일행 중에 쌍기라는 자가 어질다는 말을 듣고 **(가)**께서 그에게 예빈성사의 벼슬을 주고, 그의 건의에 따라 과거제를 처음으로 시행하였습니다. 그리하여 무오년과 경신년의 과거에서 각각 최섬과 최광범을 장원으로 선발하였습니다.","{'question': '(가) 왕이 시행한 정책으로 옳은 것은? [3점]', 'choices': ['① 대가야를 병합하였다.', '② 탕평책을 추진하였다.', '③ 경국대전을 반포하였다.', '④ 노비안검법을 실시하였다.', '⑤ 국내성에서 평양으로 천도하였다.'], 'answer': '4'}",
generation-for-nlp-23,"(선조 25년) 4월 16일
왜선 수백 척이 부산에 나타났다는 소문이 돌더니, 저녁나절에는 부산과 동래가 함락되었다는 말이 들려와 경악을 금치 못했다.

(선조 25년) 날짜 미상
전라 좌수사가 적선 42척을 불태우니 적들이 너나 할 것 없이 물속으로 뛰어들었다고 한다.

(선조 26년) 4월 8일
내가 병에 걸려 몹시 고생할 때 들었는데, 지난 1월에 명나라 장수 이여송이 평양의 왜군을 공격해 섬멸했다고 한다.

(선조 26년) 7월 8일
전라도에 온 명나라 군사들이 민가에서 끝도 없이 재물을 약탈하여 마치 왜적에게 봉변을 당한 것 같다고 한다. 전주에 사는 송영구의 집에도 명나라 군사들이 난입해 재산을 빼앗았다고 한다.","{'question': '다음 일기에 나타난 전쟁 중에 있었던 사실로 옳은 것은? [3점]', 'choices': ['① 별무반이 편성되었다.', '② 김원봉이 의열단을 조직하였다.', '③ 곽재우, 조헌 등의 의병이 활약하였다.', '④ 강감찬이 귀주에서 적군을 대파하였다.', '⑤ 삼별초가 근거지를 옮겨 가며 항쟁하였다.'], 'answer': '3'}",
generation-for-nlp-24,"묘청이 난을 일으켜 나라 이름을 대위, 연호를 천개, 군대를 천견충의군이라 하였다. 왕이 **(가)**을/를 원수로 삼아 관군을 이끌고 가 난을 평정하도록 하였다.

서경 전투는 국풍파 대 한학파의 싸움이며, 독립당 대 사대당의 싸움이며, 진취 사상 대 보수 사상의 싸움이었다. 묘청은 전자의 대표요, **(가)**은/는 후자의 대표였다. 이 싸움에서 묘청 등이 패하고 **(가)**이/가 승리함으로써 우리의 역사는 사대적·보수적 사상인 유교 사상에 굴복되고 말았다.","{'question': '(가) 인물에 대한 설명으로 옳은 것은?', 'choices': ['① 수선사 결사 운동을 주도하였다.', '② 조선 혁명 선언을 작성하였다.', '③ 한인 애국단을 이끌었다.', '④ 삼국사기를 편찬하였다.', '⑤ 척화비를 건립하였다.'], 'answer': '4'}",
generation-for-nlp-25,"엄 행수는 종본탑 동쪽에 살았는데, 마을 안의 똥 치는 일이 생업이었다. …(중략)… 한양 도성 주변 왕십리의 무와 살곶이의 순무, 연희궁의 고추·마늘·부추·파, 청파의 미나리, 이태인의 토란 등의 채소는 가장 좋은 땅에 심는데, 모두 엄 행수의 똥을 가져다 써야 많은 수확을 올릴 수 있었다.

남쪽 지방이나 북쪽 지방이나 벼농사 짓는 방법이 똑같아 언덕과 습지를 구별하지 않고 모내기만을 위주로 하고 볍씨를 논에 뿌려 농사짓는 자가 드물었다. …(중략)… 하지만 모내기를 할 때 비가 오지 않아 피해를 입는 농민이 많았으므로 의정부에서 그 대책을 논의하였다.","{'question': '다음 자료에 나타난 시기의 모습으로 가장 적절한 것은?', 'choices': ['① 삼백 산업이 발달하였다.', '② 새마을 운동이 추진되었다.', '③ 전민변정도감이 설치되었다.', '④ 관리들에게 녹읍이 지급되었다.', '⑤ 담배를 비롯한 상품 작물이 재배되었다.'], 'answer': '5'}",
generation-for-nlp-26,"(가)
미국 군함 위의 조선인들
신미양요 당시 미국 군함 콜로라도호에 있는 조선인들의 모습이다.

(나)
미국에 파견된 조선 사절단
민영익을 대표로 미국에 처음 파견된 조선 사절단의 모습이다.","{'question': '(가), (나) 사진이 촬영된 시기 사이에 있었던 사실로 옳은 것은?', 'choices': ['① 김홍집이 조선책략을 들여왔다.', '② 일본군이 간도 참변을 일으켰다.', '③ 프랑스군이 외규장각 도서를 약탈하였다.', '④ 러시아가 절영도 조차 요구를 철회하였다.', '⑤ 오페르트가 남연군 묘의 도굴을 시도하였다.'], 'answer': '1'}",
generation-for-nlp-27,"문화재 소식 (OOOO년 여름호)
[(가)] 특집 - 개인의 편지, 국가 등록 문화재가 되다

번거로운 인사말은 접어 두고 동생 광팔 보시게. …(중략)… 우리가 왜군에 맞서 오랫동안 싸운 것은 나라에 입은 은혜를 갚고자 함이라네. 그러나 형편이 어려워 하늘을 이불 삼고 땅을 자리 삼는 고초가 이루 다 말할 수 없다네. …(중략)… 근래 사정이 이전보다 어려워서 또 한 번 돈과 비단을 이 인편에 보내 주길 청하니 잘 살펴 보내 주게.
갑오년 늦가을 형 광화 씀.

고부 농민 봉기 이후 '보국안민', '제폭구민'을 내세운 **(가)**에 참여한 개인의 편지가 국가 등록 문화재가 되었다. 당시 농민군으로 참여한 인물이 작성한 몇 안 되는 기록 중 하나라는 점에서 귀중한 가치를 지니고 있다. 이 편지는 **(가)**의 전개 과정 중 일본군의 경복궁 침범과 내정 간섭에 맞서 농민군이 싸우던 시기에 작성된 것으로, 당시 그들이 처한 상황과 군자금 조달 방법 등의 내용을 담고 있다.","{'question': '(가) 운동에 대한 설명으로 옳은 것은? [3점]', 'choices': ['① 보안회를 중심으로 전개되었다.', '② 순종의 장례일을 기해 일어났다.', '③ 집강소를 통해 개혁을 추진하였다.', '④ 조사 시찰단을 파견하는 계기가 되었다.', '⑤ 원산 총파업이 일어나는 원인이 되었다.'], 'answer': '3'}",
generation-for-nlp-28,"■ 과제: 20세기 초 한반도를 둘러싼 상황을 표현한 그림을 찾아 그려 보고, 그림이 표현하는 역사적 상황을 설명하기
■ 그림: (러시아, 미국, 일본 등이 묘사된 삽화)
■ 설명: 이 그림은 미국의 한 잡지에 실린 삽화를 토대로 그린 것으로, 중앙의 미국 대통령 루스벨트가 러시아와 일본의 강화를 주선하는 모습을 표현하고 있다. 당시 러시아와 일본은 한반도를 둘러싸고 전쟁을 벌였는데, 미국의 중개를 계기로 강화를 맺고 전쟁을 종결하였다. 그 결과 일본은 한반도에 대한 독점적 지배권을 확보하였고, 곧이어 (가)","{'question': '(가)에 들어갈 내용으로 가장 적절한 것은? [3점]', 'choices': ['① 청과 일본 양국 군대가 한반도에서 철수하였다.', '② 대한 제국은 을사늑약으로 외교권을 빼앗겼다.', '③ 모스크바 3국 외상 회의가 개최되었다.', '④ 영국이 거문도를 불법 점령하였다.', '⑤ 제너럴 셔먼호 사건이 발생하였다.'], 'answer': '2'}",
generation-for-nlp-29,"이 노래는 ‘단연동맹가’로, 담배를 끊고 그 돈을 모아 기부하여 나라를 살리자는 내용을 담고 있다. 일제의 차관 강요 등으로 인해 생긴 나랏빚을 갚자며 1907년에 일어난 **(가)**의 취지를 잘 보여 주고 있다. 금연 이외에도 여성들이 가락지와 비녀를 기부하는 등 전국적으로 다양한 형태의 참여가 있었다.","{'question': '(가) 운동에 대한 설명으로 옳은 것은? [3점]', 'choices': ['① 한일 학생 간의 충돌로 발생하였다.', '② 전태일의 분신을 계기로 확산되었다.', '③ 황국 중앙 총상회의 결성으로 이어졌다.', '④ 대한매일신보 등 언론의 지원을 받았다.', '⑤ 구식 군인에 대한 차별에 반기를 들었다.'], 'answer': '4'}",
generation-for-nlp-30,광무 원년 10월 12일은 우리 역사에서 제일 빛나고 영화로운 날이 되었다. 폐하께서 조선 역사상 처음으로 황제의 자리에 오르시어 조선이 자주독립한 황제국이 되었으니 백성으로서 어찌 감격한 생각이 아니 나겠는가. …(중략)… 이날 오전 환구단에 가서 하늘에 제사하고 황제의 자리에 올랐음을 고하였다. 정오에 만조백관이 예복을 갖추고 경운궁에 나아가 황제 폐하께 크게 하례를 올렸다.,"{'question': '밑줄 친 ‘황제국’에 대한 설명으로 옳은 것은?', 'choices': ['① 지계를 발급하였다.', '② 골품제를 운영하였다.', '③ 개경을 수도로 삼았다.', '④ 인조반정으로 성립되었다.', '⑤ 국민 대표 회의를 소집하였다.'], 'answer': '1'}",
generation-for-nlp-31,"고종이 돌아가시매 많은 소문이 전국에 퍼졌다. 상황은 급박 하게 돌아가, 3월 1일에 서울을 중심으로 만세 시위가 시작 되었다. 경찰이 많은 사람을 검거했지만 시위에 참여한 군중은 폭력을 행사하지 않았다. 학교는 폐쇄되었다. 3월 5일에는 대규모 시위가 학생들을 중심으로 남대문 부근에서 일어났으며, 이후 전국 각지에서 격렬한 운동으로 이어졌다.","{'question': '자료에 나타난 민족 운동에 대한 설명으로 옳은 것은? [3점]', 'choices': ['① 만민 공동회를 개최하였다.', '② 좌우 합작 위원회가 주도하였다.', '③ 갑오개혁이 추진되는 배경이 되었다.', '④ 을미사변과 단발령에 반발하여 일어났다.', '⑤ 대한민국 임시 정부 수립에 영향을 주었다.'], 'answer': '5'}",
generation-for-nlp-32,"○○일보 (2021년 ○월 ○○일)
고국으로 돌아온 독립운동가
이번 광복절에 카자흐스탄으로부터 **(가)**의 유해가 고국으로 돌아왔다. 그의 유해는 추모 기간을 거친 후 국립대전현충원 독립 유공자 묘역에 안장될 예정이다. 한말 의병장으로 활약했던 그는 봉오동 전투와 청산리 전투를 승리로 이끄는 등 오랜 기간 항일 무장 투쟁을 전개하였다. 이후 연해주로 건너가 활동하던 중 소련의 강제 이주 정책에 의해 중앙아시아로 이주하게 되었고, 그곳에서 생을 마감하였다.","{'question': '(가) 인물에 대한 설명으로 옳은 것은? [3점]', 'choices': ['① 시무 28조를 건의하였다.', '② 대한 독립군을 이끌었다.', '③ 강동 6주 지역을 확보하였다.', '④ 인천 상륙 작전에 참여하였다.', '⑤ 상하이 훙커우 공원에서 의거를 일으켰다.'], 'answer': '2'}",
generation-for-nlp-33,"우리 생활에서 산업의 기초가 파괴되면 조선 사람의 생활과 인격 역시 파괴될 것입니다. 그러니 빈부를 막론하고 우리가 산업의 권리를 장악해야 합니다. 따라서 ‘내 살림 내 것으로’라는 구호를 내건 이 운동은 반드시 필요합니다.

조만식 등이 평양에서 시작한 이 운동은 중산 계급이 자신들의 경제적인 지위를 유지하려는 것일 뿐입니다. 이로 인해 토산물 가격이 너무 올라, 조선산 무명과 베옷을 입던 이들의 구매력은 더욱 참담하게 되었습니다.","{'question': '밑줄 친 ‘이 운동’에 대한 탐구 주제로 가장 적절한 것은?', 'choices': ['① 남북 협상의 추진과 결과', '② 당백전 발행의 이유와 문제점', '③ 조선 물산 장려회의 활동과 평가', '④ 대동법 실시의 사회․경제적 원인과 효과', '⑤ 국제 통화 기금[IMF] 구제 금융 신청의 배경과 영향'], 'answer': '3'}",
